"key","type","question-zh","question-en","question-vi","question-id","options_A_zh","options_A_en","options_A_vi","options_A_id","options_B_zh","options_B_en","options_B_vi","options_B_id","options_C_zh","options_C_en","options_C_vi","options_C_id","options_D_zh","options_D_en","options_D_vi","options_D_id","answer-zh","answer-en","answer-vi","answer-id","explanation-zh","explanation-en","explanation-vi","explanation-id","image"
"epic3_q1","mcq","在墨尔本非正式见面时，常见的礼仪是什么？","What is the common etiquette in casual meetings in Melbourne?","Nghi thức phổ biến khi gặp gỡ không trang trọng ở Melbourne là gì?","Etiket umum saat pertemuan santai di Melbourne adalah apa?","鞠躬","Bow","Cúi chào","Membungkuk","微笑并说 “Hi/Hello”","Smile and say 'Hi/Hello'","Mỉm cười và nói 'Hi/Hello'","Tersenyum dan berkata 'Hi/Hello'","亲吻双颊","Kiss on the cheek","Hôn má","Cium pipi","保持沉默","Stay silent","Giữ im lặng","Diam saja","微笑并说 “Hi/Hello”","Smile and say 'Hi/Hello'","Mỉm cười và nói 'Hi/Hello'","Tersenyum dan berkata 'Hi/Hello'","澳大利亚日常交流中最常见的问候是微笑加简单的“Hi”或“Hello”。","In everyday Australian interactions, the most common greeting is a smile with a simple 'Hi' or 'Hello'.","Trong giao tiếp hàng ngày ở Úc, lời chào phổ biến nhất là mỉm cười kèm theo 'Hi' hoặc 'Hello'.","Dalam interaksi sehari-hari di Australia, salam yang paling umum adalah senyum dengan 'Hi' atau 'Hello'.",""
"epic3_q2","mcq","在正式见面时，正确的礼仪是？","What is the proper etiquette in formal meetings?","Nghi thức đúng khi gặp gỡ trang trọng là gì?","Etiket yang benar saat pertemuan resmi adalah apa?","握手并称呼头衔和姓氏","Shake hands and address with title and surname","Bắt tay và gọi theo chức danh và họ","Jabat tangan dan panggil dengan gelar dan nama keluarga","拥抱","Hug","Ôm","Peluk","使用昵称","Use nickname","Dùng biệt danh","Gunakan nama panggilan","保持沉默","Stay silent","Giữ im lặng","Diam saja","握手并称呼头衔和姓氏","Shake hands and address with title and surname","Bắt tay và gọi theo chức danh và họ","Jabat tangan dan panggil dengan gelar dan nama keluarga","正式场合中，握手并称呼对方的头衔和姓氏是尊重的表现。","In formal settings, shaking hands and addressing others with their title and surname is a sign of respect.","Trong các dịp trang trọng, bắt tay và gọi người khác bằng chức danh và họ thể hiện sự tôn trọng.","Dalam acara resmi, berjabat tangan dan menyebut orang lain dengan gelar dan nama keluarga menunjukkan rasa hormat.",""
"epic3_q3","mcq","墨尔本人初次见面时通常不会使用哪种问候？","Which greeting is not usually used by Melburnians when meeting for the first time?","Người dân Melbourne thường không sử dụng lời chào nào khi gặp lần đầu?","Salam apa yang biasanya tidak digunakan oleh orang Melbourne saat pertama kali bertemu?","握手","Handshake","Bắt tay","Jabat tangan","亲吻双颊","Kiss on the cheek","Hôn má","Cium pipi","微笑问候","Smile greeting","Mỉm cười chào hỏi","Senyum menyapa","说 “Nice to meet you”","Say 'Nice to meet you'","Nói 'Rất vui được gặp bạn'","Mengatakan 'Senang bertemu denganmu'","亲吻双颊","Kiss on the cheek","Hôn má","Cium pipi","亲吻双颊更常见于家庭或朋友间，而不是初次见面。","Kissing on the cheek is more common among family or friends, not in first meetings.","Hôn má phổ biến hơn trong gia đình hoặc bạn bè, không phải khi gặp lần đầu.","Cium pipi lebih umum di antara keluarga atau teman, bukan saat pertemuan pertama.",""
"epic3_q4","mcq","在公共交通上，应如何表现礼貌？","How should one behave politely on public transport?","Nên cư xử lịch sự như thế nào trên phương tiện giao thông công cộng?","Bagaimana seharusnya bersikap sopan di transportasi umum?","保持安静","Stay quiet","Giữ yên lặng","Diam","主动让座给老人","Offer seat to elderly","Nhường ghế cho người già","Memberi kursi kepada lansia","使用耳机听音乐","Use earphones for music","Dùng tai nghe để nghe nhạc","Gunakan earphone untuk musik","以上皆是","All of the above","Tất cả các điều trên","Semua di atas","以上皆是","All of the above","Tất cả các điều trên","Semua di atas","公共交通强调安静、尊重他人和关心弱势群体。","Public transport emphasizes quietness, respecting others, and caring for vulnerable groups.","Giao thông công cộng nhấn mạnh sự yên tĩnh, tôn trọng người khác và quan tâm đến nhóm dễ bị tổn thương.","Transportasi umum menekankan ketenangan, menghormati orang lain, dan peduli pada kelompok rentan.",""
"epic3_q5","mcq","在超市排队时，正确的礼仪是？","What is the correct etiquette when queuing in the supermarket?","Nghi thức đúng khi xếp hàng trong siêu thị là gì?","Etiket yang benar saat antre di supermarket adalah apa?","插队","Cut in line","Chen ngang","Menyelak antrean","保持队伍顺序","Keep the order of the queue","Giữ trật tự hàng đợi","Tetap dalam urutan antrean","大声交谈","Talk loudly","Nói to","Berbicara keras","用手占位","Reserve with hand","Giữ chỗ bằng tay","Menjaga tempat dengan tangan","保持队伍顺序","Keep the order of the queue","Giữ trật tự hàng đợi","Tetap dalam urutan antrean","排队是澳大利亚社会的重要礼貌习惯。","Queuing is an important etiquette in Australian society.","Xếp hàng là một phép lịch sự quan trọng trong xã hội Úc.","Mengantre adalah etiket penting dalam masyarakat Australia.",""
"epic3_q6","mcq","在餐厅用餐时，常见的礼仪是？","What is the common etiquette when dining in a restaurant?","Nghi thức phổ biến khi ăn tại nhà hàng là gì?","Etiket umum saat makan di restoran adalah apa?","大声讲话","Speak loudly","Nói to","Berbicara keras","自带食物","Bring your own food","Mang đồ ăn riêng","Bawa makanan sendiri","等所有人上菜后再开动","Wait until everyone is served before eating","Đợi mọi người có đồ ăn rồi mới bắt đầu","Tunggu semua orang mendapat makanan sebelum makan","吃完就走","Leave immediately after eating","Ăn xong thì đi ngay","Pergi segera setelah makan","等所有人上菜后再开动","Wait until everyone is served before eating","Đợi mọi người có đồ ăn rồi mới bắt đầu","Tunggu semua orang mendapat makanan sebelum makan","体现对同桌用餐者的尊重。","This shows respect for fellow diners.","Điều này thể hiện sự tôn trọng với những người cùng bàn.","Ini menunjukkan rasa hormat kepada teman makan.",""
"epic3_q7","mcq","墨尔本是一个多元文化城市，下列哪一项是正确的？","Melbourne is a multicultural city. Which of the following is correct?","Melbourne là một thành phố đa văn hóa. Điều nào sau đây là đúng?","Melbourne adalah kota multikultural. Mana yang benar?","可以随意评价别人的宗教","Freely comment on others' religion","Tự do bình luận về tôn giáo của người khác","Bebas mengomentari agama orang lain","尊重不同宗教和饮食习惯","Respect different religions and dietary habits","Tôn trọng các tôn giáo và thói quen ăn uống khác nhau","Menghormati agama dan kebiasaan makan yang berbeda","只接受西式礼仪","Accept only Western etiquette","Chỉ chấp nhận nghi thức phương Tây","Hanya menerima etiket Barat","公共场合禁止宗教服饰","Ban religious clothing in public","Cấm trang phục tôn giáo nơi công cộng","Melarang pakaian agama di tempat umum","尊重不同宗教和饮食习惯","Respect different religions and dietary habits","Tôn trọng các tôn giáo và thói quen ăn uống khác nhau","Menghormati agama dan kebiasaan makan yang berbeda","墨尔本尊重多元文化和信仰。","Melbourne respects multiculturalism and diverse beliefs.","Melbourne tôn trọng đa văn hóa và niềm tin đa dạng.","Melbourne menghormati multikulturalisme dan beragam keyakinan.",""
"epic3_q8","mcq","如果遇到戴头巾（Hijab）的女性，正确的礼仪是？","What is the correct etiquette if you meet a woman wearing a Hijab?","Nếu gặp một phụ nữ đội khăn Hijab, nghi thức đúng là gì?","Apa etiket yang benar jika bertemu wanita yang mengenakan Hijab?","强行握手","Force a handshake","Ép bắt tay","Paksa berjabat tangan","尊重对方选择，不必强行接触","Respect her choice, no forced contact","Tôn trọng lựa chọn của cô ấy, không ép buộc tiếp xúc","Hormati pilihannya, jangan kontak paksa","询问她的信仰","Ask about her religion","Hỏi về tôn giáo của cô ấy","Tanyakan agamanya","避免眼神接触","Avoid eye contact","Tránh giao tiếp bằng mắt","Hindari kontak mata","尊重对方选择，不必强行接触","Respect her choice, no forced contact","Tôn trọng lựa chọn của cô ấy, không ép buộc tiếp xúc","Hormati pilihannya, jangan kontak paksa","一些女性可能不与男性握手，应尊重这种文化差异。","Some women may not shake hands with men; this cultural difference should be respected.","Một số phụ nữ có thể không bắt tay với nam giới; sự khác biệt văn hóa này cần được tôn trọng.","Beberapa wanita mungkin tidak berjabat tangan dengan pria; perbedaan budaya ini harus dihormati.",""
"epic3_q9","mcq","在图书馆中应避免什么行为？","What behavior should be avoided in a library?","Hành vi nào nên tránh trong thư viện?","Perilaku apa yang harus dihindari di perpustakaan?","小声交谈","Whisper","Nói chuyện nhỏ","Berbisik","带耳机听音乐","Listen to music with earphones","Nghe nhạc bằng tai nghe","Mendengarkan musik dengan earphone","大声讲电话","Talk loudly on the phone","Nói chuyện điện thoại to","Berbicara keras di telepon","使用电脑学习","Use computer for study","Dùng máy tính để học","Menggunakan komputer untuk belajar","大声讲电话","Talk loudly on the phone","Nói chuyện điện thoại to","Berbicara keras di telepon","图书馆是学习和安静的公共空间。","A library is a public space for learning and quietness.","Thư viện là không gian công cộng để học tập và yên tĩnh.","Perpustakaan adalah ruang publik untuk belajar dan ketenangan.",""
"epic3_q10","mcq","在公园散步时，常见的礼仪是？","What is the common etiquette when walking in a park?","Nghi thức phổ biến khi đi dạo trong công viên là gì?","Etiket umum saat berjalan di taman adalah apa?","遛狗要拴狗绳","Keep dogs on a leash","Dắt chó bằng dây","Anjing harus diikat","主动打招呼","Greet others","Chủ động chào hỏi","Sapa orang lain","不乱丢垃圾","Do not litter","Không xả rác","Jangan buang sampah sembarangan","以上皆是","All of the above","Tất cả các điều trên","Semua di atas","以上皆是","All of the above","Tất cả các điều trên","Semua di atas","体现对公共环境和他人的尊重。","This reflects respect for the public environment and others.","Điều này thể hiện sự tôn trọng môi trường công cộng và người khác.","Ini mencerminkan rasa hormat terhadap lingkungan umum dan orang lain.",""
"epic3_q11","mcq","如果有人在街头对你微笑，通常代表什么意思？","If someone smiles at you on the street, what does it usually mean?","Nếu ai đó mỉm cười với bạn trên đường, điều đó thường có nghĩa là gì?","Jika seseorang tersenyum kepada Anda di jalan, biasanya itu berarti apa?","想要钱","Wants money","Muốn tiền","Ingin uang","礼貌和友好","Politeness and friendliness","Lịch sự và thân thiện","Sopan santun dan ramah","生气","Angry","Tức giận","Marah","挑衅","Provocation","Khiêu khích","Provokasi","礼貌和友好","Politeness and friendliness","Lịch sự và thân thiện","Sopan santun dan ramah","在澳大利亚，微笑是一种友好的社交信号。","In Australia, smiling is a friendly social signal.","Ở Úc, nụ cười là một tín hiệu xã hội thân thiện.","Di Australia, senyum adalah sinyal sosial yang ramah.",""
"epic3_q12","mcq","在电梯里，正确的行为是？","What is the correct behavior in an elevator?","Hành vi đúng trong thang máy là gì?","Perilaku yang benar di lift adalah apa?","插队进入","Cut in line","Chen ngang","Menyelak antrean","保持安静","Stay quiet","Giữ im lặng","Diam saja","面对他人交谈","Face others and talk","Đối diện và nói chuyện","Menghadap orang lain dan berbicara","占用空间","Occupy space","Chiếm chỗ","Menguasai ruang","保持安静","Stay quiet","Giữ im lặng","Diam saja","电梯是封闭空间，保持安静是尊重他人的表现。","An elevator is an enclosed space; staying quiet shows respect for others.","Thang máy là không gian kín; giữ im lặng thể hiện sự tôn trọng người khác.","Lift adalah ruang tertutup; diam menunjukkan rasa hormat kepada orang lain.",""
"epic3_q13","mcq","如果有人在公共场合和你交谈，但你听不懂，该怎么做？","If someone talks to you in public but you don't understand, what should you do?","Nếu ai đó nói chuyện với bạn nơi công cộng nhưng bạn không hiểu, bạn nên làm gì?","Jika seseorang berbicara kepada Anda di tempat umum tetapi Anda tidak mengerti, apa yang harus Anda lakukan?","装作听懂","Pretend to understand","Giả vờ hiểu","Berpura-pura mengerti","微笑回应并说明自己英语不好","Smile and explain your English is not good","Mỉm cười và giải thích tiếng Anh của mình không tốt","Tersenyum dan jelaskan bahasa Inggris Anda tidak bagus","转身走开","Walk away","Bỏ đi","Pergi","责怪对方","Blame the other person","Đổ lỗi cho người kia","Menyalahkan orang lain","微笑回应并说明自己英语不好","Smile and explain your English is not good","Mỉm cười và giải thích tiếng Anh của mình không tốt","Tersenyum dan jelaskan bahasa Inggris Anda tidak bagus","友善沟通能避免误会。","Friendly communication can avoid misunderstandings.","Giao tiếp thân thiện có thể tránh hiểu lầm.","Komunikasi yang ramah dapat menghindari kesalahpahaman.",""
"epic3_q14","mcq","在生日派对上，常见的礼仪是？","What is the common etiquette at a birthday party?","Nghi thức phổ biến tại tiệc sinh nhật là gì?","Etiket umum di pesta ulang tahun adalah apa?","带小礼物或祝福","Bring a small gift or greeting","Mang quà nhỏ hoặc lời chúc","Bawa hadiah kecil atau ucapan","不说话","Stay silent","Im lặng","Diam saja","坐在角落里","Sit in the corner","Ngồi ở góc","Duduk di pojok","提前离开","Leave early","Rời đi sớm","Pergi lebih awal","带小礼物或祝福","Bring a small gift or greeting","Mang quà nhỏ hoặc lời chúc","Bawa hadiah kecil atau ucapan","这是表达祝贺和尊重的方式。","This is a way to express congratulations and respect.","Đây là cách thể hiện lời chúc mừng và sự tôn trọng.","Ini adalah cara untuk menyampaikan ucapan selamat dan rasa hormat.",""
"epic3_q15","mcq","在澳大利亚的圣诞节聚会中，常见的社交方式是？","What is the common social practice at Christmas gatherings in Australia?","Tập quán xã hội phổ biến trong các buổi tụ họp Giáng sinh ở Úc là gì?","Praktik sosial umum di pertemuan Natal di Australia adalah apa?","互送贺卡和小礼物","Exchange cards and small gifts","Trao đổi thiệp và quà nhỏ","Tukar kartu dan hadiah kecil","不打招呼","Not greet","Không chào hỏi","Tidak menyapa","保持沉默","Stay silent","Im lặng","Diam saja","拒绝参加","Refuse to attend","Từ chối tham gia","Menolak untuk hadir","互送贺卡和小礼物","Exchange cards and small gifts","Trao đổi thiệp và quà nhỏ","Tukar kartu dan hadiah kecil","这是澳大利亚文化中重要的社交礼仪。","This is an important social etiquette in Australian culture.","Đây là một nghi thức xã hội quan trọng trong văn hóa Úc.","Ini adalah etiket sosial penting dalam budaya Australia.",""